geo_country,geo_country_name,seller_member_id,seller_member_name,size,audit_type,seller_type,inventory_trust,iash,filtered_imps,filtered_uniques,total_imps,total_uniques,supply_type,device_type,os_family_id
ZW,Zimbabwe,3898,WebFinance Inc.,"all",any_status,unknown,appnexus,false,900,200,1624000,265100,--,Phone,--
ZW,Zimbabwe,2139,Generation Premium Pte Ltd.,"all",any_status,unknown,appnexus,false,800,200,45807200,2401400,--,Phone,--
ZW,Zimbabwe,1837,Xaxis - Malaysia,"all",any_status,platform,appnexus,false,800,100,7273000,2377700,--,Phone,--
ZW,Zimbabwe,2011,Apex,"all",any_status,platform,appnexus,false,800,400,2201000,580500,--,Phone,--
ZW,Zimbabwe,1922,Pub Ventures Media Corp,"all",any_status,unknown,appnexus,false,700,200,15843900,1942600,--,Phone,--
ZW,Zimbabwe,3844,"Healthline Networks, Inc.","all",any_status,platform,appnexus,false,700,100,14106500,1635000,--,Phone,--
ZW,Zimbabwe,6832,Social Sweethearts GmbH,"all",any_status,platform,appnexus,false,700,200,129605700,8874400,--,Phone,--
ZW,Zimbabwe,567,"Sizmek Technologies, Inc.","all",any_status,unknown,appnexus,false,700,200,2997800,772200,--,Phone,--
ZW,Zimbabwe,2894,AdYouLike S.A.,"all",any_status,platform,appnexus,false,700,300,44562900,13339500,--,Phone,--
ZW,Zimbabwe,232,LinkedIn Corporation,"all",any_status,platform,appnexus,false,700,400,117398700,17283000,--,Phone,--
ZW,Zimbabwe,956,Zodiak Active,"all",any_status,platform,appnexus,false,700,300,111404700,18170800,--,Phone,--
ZW,Zimbabwe,3796,Hometalk LLC,"all",any_status,platform,appnexus,false,700,100,22345900,859600,--,Phone,--
ZW,Zimbabwe,3053,Sticky Ads TV S.A.,"all",any_status,external,appnexus,false,700,400,643113300,133893100,--,Phone,--
ZW,Zimbabwe,2914,Solocal Xchange,"all",any_status,unknown,appnexus,false,600,100,28885100,2729100,--,Phone,--
ZW,Zimbabwe,3258,The Publisher Desk LLC,"all",any_status,platform,appnexus,false,600,200,10046000,1353900,--,Phone,--
ZW,Zimbabwe,1792,Gourmet Ads Pty Limited,"all",any_status,platform,appnexus,false,600,200,34696200,2289600,--,Phone,--
ZW,Zimbabwe,2688,Metric Science,"all",any_status,unknown,appnexus,false,600,400,18380400,4562000,--,Phone,--
ZW,Zimbabwe,1538,PubSquared LLC,"all",any_status,unknown,appnexus,false,600,300,240746800,9981800,--,Phone,--
ZW,Zimbabwe,3561,"AdThrive, LLC","all",any_status,unknown,appnexus,false,600,100,73918400,4951200,--,Phone,--
ZW,Zimbabwe,7081,AudienceWorks,"all",any_status,platform,appnexus,false,600,100,64490400,4522900,--,Phone,--
ZW,Zimbabwe,2578,"Geniee, Inc.","all",any_status,unknown,appnexus,false,500,300,15405100,3138700,--,Phone,--
ZW,Zimbabwe,806,Venatus Media,"all",any_status,unknown,appnexus,false,500,100,65003100,2927800,--,Phone,--
ZW,Zimbabwe,1019,OnScroll Limited,"all",any_status,unknown,appnexus,false,500,300,49573600,5219900,--,Phone,--
ZW,Zimbabwe,95,X.M. Performing Media Ltd.,"all",any_status,unknown,appnexus,false,500,200,16611500,2530800,--,Phone,--
ZW,Zimbabwe,2888,theGuardian.com,"all",any_status,platform,appnexus,false,500,200,9967300,2107700,--,Phone,--
ZW,Zimbabwe,4016,Vertical Scope Inc.,"all",any_status,platform,appnexus,false,500,100,20902200,1681900,--,Phone,--
ZW,Zimbabwe,1223,Q1Media Inc.,"all",any_status,platform,appnexus,false,500,300,128248700,8321700,--,Phone,--
ZW,Zimbabwe,3681,RealVu Inc.,"all",any_status,unknown,appnexus,false,500,100,16715500,2651800,--,Phone,--
ZW,Zimbabwe,4009,Seedtag Advertising SL,"all",any_status,platform,appnexus,false,500,200,29856400,13072700,--,Phone,--
ZW,Zimbabwe,7090,Meredith Corporation,"all",any_status,platform,appnexus,false,500,200,58288800,4344600,--,Phone,--
ZW,Zimbabwe,926,Yellowhammer Media Group Inc.,"all",any_status,unknown,appnexus,false,400,200,254385000,11175400,--,Phone,--
ZW,Zimbabwe,7037,L´Agora,"all",any_status,platform,appnexus,false,400,200,35954200,6124300,--,Phone,--
ZW,Zimbabwe,7267,LittleThings Inc.,"all",any_status,unknown,appnexus,false,400,200,12733200,2454700,--,Phone,--
ZW,Zimbabwe,2154,"Vibrant Media, Inc","all",any_status,platform,appnexus,false,400,100,22450200,3110100,--,Phone,--
ZW,Zimbabwe,3605,The Moneytizer SARL,"all",any_status,unknown,appnexus,false,400,100,393348900,10057200,--,Phone,--
ZW,Zimbabwe,6925,NEWSWEB (LAGARDERE),"all",any_status,platform,appnexus,false,400,100,10198500,1395600,--,Phone,--
ZW,Zimbabwe,3484,Sortable,"all",any_status,platform,appnexus,false,400,200,102489800,8223900,--,Phone,--
ZW,Zimbabwe,1548,Criteo,"all",any_status,unknown,appnexus,false,300,200,264630200,33089800,--,Phone,--
ZW,Zimbabwe,3287,"RTK.io (Phaedrus Media, LLC)","all",any_status,platform,appnexus,false,300,100,1512400,91600,--,Phone,--
ZW,Zimbabwe,2721,Kiosked,"all",any_status,unknown,appnexus,false,300,100,39490800,7559400,--,Phone,--
ZW,Zimbabwe,1755,Digital Throttle,"all",any_status,platform,appnexus,false,300,100,11948200,1024000,--,Phone,--
ZW,Zimbabwe,1117,Switch Concepts Limited,"all",any_status,platform,appnexus,false,300,100,34236600,1930800,--,Phone,--
ZW,Zimbabwe,3051,Mobile Network Group - MNG (M-Brand3),"all",any_status,platform,appnexus,false,300,100,732400,291600,--,Phone,--
ZW,Zimbabwe,7039,"Monkey Broker, LLC","all",any_status,platform,appnexus,false,300,200,138675300,3208700,--,Phone,--
ZW,Zimbabwe,7053,SheKnows LLC,"all",any_status,platform,appnexus,false,300,100,15489400,1736800,--,Phone,--
ZW,Zimbabwe,3425,Sharethrough,"all",any_status,platform,appnexus,false,200,200,99697900,16949000,--,Phone,--
ZW,Zimbabwe,2767,Premio,"all",any_status,platform,appnexus,false,200,100,23912100,3609300,--,Phone,--
ZW,Zimbabwe,3204,Purch,"all",any_status,platform,appnexus,false,200,100,71048500,4790400,--,Phone,--
ZW,Zimbabwe,7049,Penske Media Corporation,"all",any_status,platform,appnexus,false,200,200,8119900,1396600,--,Phone,--
ZW,Zimbabwe,7134,"Connected Ventures, LLC (Electus Digital)","all",any_status,platform,appnexus,false,200,100,8524600,677700,--,Phone,--
ZW,Zimbabwe,3121,Multi Channel Network Pty Ltd.,"all",any_status,unknown,appnexus,false,200,100,5868000,942000,--,Phone,--
ZW,Zimbabwe,7282,Whisper Text Inc.,"all",any_status,unknown,appnexus,false,200,100,3790800,408200,--,Phone,--
ZW,Zimbabwe,7161,Business Insider Inc.,"all",any_status,unknown,appnexus,false,200,100,16260900,3076600,--,Phone,--
ZW,Zimbabwe,3723,Ligatus Seller,"all",any_status,unknown,appnexus,false,200,100,141960100,32025800,--,Phone,--
ZW,Zimbabwe,476,Magnetic Media Online,"all",any_status,unknown,appnexus,false,200,200,2446100,1022100,--,Phone,--
ZW,Zimbabwe,1942,Floor6,"all",any_status,platform,appnexus,false,200,200,19726400,3099200,--,Phone,--
ZW,Zimbabwe,2067,"Gorilla Nation Media, LLC","all",any_status,platform,appnexus,false,200,100,2685700,408600,--,Phone,--
ZW,Zimbabwe,2669,Brightcom,"all",any_status,platform,appnexus,false,200,200,93261500,7626600,--,Phone,--
ZW,Zimbabwe,2670,AD2ONE LTD,"all",any_status,platform,appnexus,false,200,100,819000,310300,--,Phone,--
ZW,Zimbabwe,3251,"Infolinks, Inc.","all",any_status,platform,appnexus,false,200,200,14186200,4552200,--,Phone,--
ZW,Zimbabwe,6851,"Investopedia, LLC","all",any_status,platform,appnexus,false,200,100,9761100,873600,--,Phone,--
ZW,Zimbabwe,6932,CBS Interactive Inc. INTL,"all",any_status,unknown,appnexus,false,100,100,25241700,2289200,--,Phone,--
ZW,Zimbabwe,7197,"Horoscope.com, Inc.","all",any_status,unknown,appnexus,false,100,100,12611100,454100,--,Phone,--
ZW,Zimbabwe,3332,Tremor Video Inc.,"all",any_status,unknown,appnexus,false,100,100,660897900,33984500,--,Phone,--
ZW,Zimbabwe,7266,"Some Spider, LLC","all",any_status,unknown,appnexus,false,100,100,17411800,871400,--,Phone,--
ZW,Zimbabwe,2695,RhythmOne Owned & Operated,"all",any_status,platform,appnexus,false,100,100,1382800,209500,--,Phone,--
ZW,Zimbabwe,3508,Proper Media LLC,"all",any_status,unknown,appnexus,false,100,100,121421700,4183300,--,Phone,--
ZW,Zimbabwe,3626,"Mediavine, Inc.","all",any_status,unknown,appnexus,false,100,100,23810900,2685800,--,Phone,--
ZW,Zimbabwe,7487,UAB Pandos,"all",any_status,unknown,appnexus,false,100,100,73054600,3305000,--,Phone,--
ZW,Zimbabwe,1540,Schibsted Sweden AB,"all",any_status,platform,appnexus,false,100,100,114046400,10389600,--,Phone,--
ZW,Zimbabwe,1841,Xaxis - Taiwan,"all",any_status,platform,appnexus,false,100,100,25964000,3614000,--,Phone,--
ZW,Zimbabwe,2962,Auto Trader Limited,"all",any_status,platform,appnexus,false,100,100,18235200,552200,--,Phone,--
ZW,Zimbabwe,3048,Internet Brands Inc.,"all",any_status,platform,appnexus,false,100,100,520000,212500,--,Phone,--
ZW,Zimbabwe,6833,"Farlex, Inc.","all",any_status,platform,appnexus,false,100,100,6719000,1524400,--,Phone,--
ZW,Zimbabwe,4005,Wikia Inc.,"all",any_status,platform,appnexus,false,100,100,123925000,6679700,--,Phone,--
ZW,Zimbabwe,1601,Orange Ad Market (France),"all",any_status,unknown,appnexus,false,100,100,222596300,12118300,--,Phone,--
ZW,Zimbabwe,1940,McCann Disciplines LTD.,"all",any_status,unknown,appnexus,false,100,100,674469400,37063200,--,Phone,--
ZW,Zimbabwe,2733,Prodege LLC,"all",any_status,unknown,appnexus,false,100,100,1337300,345900,--,Phone,--
ZW,Zimbabwe,2775,Numbate (Mozoo),"all",any_status,unknown,appnexus,false,100,100,1527400,509600,--,Phone,--
ZW,Zimbabwe,1258,Demand Media,"all",any_status,platform,appnexus,false,100,100,11988600,1612900,--,Phone,--
ZW,Zimbabwe,7295,Outreach Media Group,"all",any_status,unknown,appnexus,false,100,100,895800,194500,--,Phone,--
ZW,Zimbabwe,1773,Gay Ad Network,"all",any_status,platform,appnexus,false,100,100,3006600,311900,--,Phone,--
ZW,Zimbabwe,1906,Velis Media,"all",any_status,platform,appnexus,false,100,100,178695500,6958800,--,Phone,--
ZW,Zimbabwe,2967,orbyd GmbH,"all",any_status,platform,appnexus,false,100,100,72246000,4892000,--,Phone,--
ZW,Zimbabwe,2758,GumGum,"all",any_status,platform,appnexus,false,100,100,47525000,4583300,--,Phone,--
ZW,Zimbabwe,3911,"Neutrino Media Group, LLC","all",any_status,platform,appnexus,false,100,100,82637200,5006100,--,Phone,--



Report type: seller
Run at: 02/24/2017 04:50:31
Start date: 02/17/2017 00:00:00
End date: 02/24/2017 00:00:00
Timezone: UTC
User: Cyril Andea (178820)
